#,Channel,Subscribers,Language,Beat,Uploads,Avg views/video,Started,Business email listed,URL
89,Dholera Smart City Update By Ethereum Infra Group,8150,Gujarati,Crypto,119,1213,2022-07-28,Yes,https://youtube.com/channel/UC77MRD8eyR0CpYOYVFjXmaQ
90,Crypto Point Marathi,13800,Marathi,Crypto,105,1277,2017-01-15,Yes,https://youtube.com/channel/UCUdBJDmyjbhUZLyMyHA84Gw
91,Crypto Shyam,37000,English / mixed,Crypto,537,3978,2021-09-30,Yes,https://youtube.com/channel/UCvR-maneqFZ2za_TJSeAT6Q
92,Crypto With Mohit ,38100,English / mixed,Crypto,514,3761,2021-09-24,Yes,https://youtube.com/channel/UC_t3Gstpk_4tSeoyiEtyAFA
93,OPTION GURU STOCK MARKET,32000,English / mixed,Markets,1200,3522,2012-04-27,Yes,https://youtube.com/channel/UCaz1TGed_vT9JJBZNlJcTjA
94,chikku screen - Tech kannada ,6490,Kannada,Crypto,54,798,2017-12-06,Yes,https://youtube.com/channel/UC_yWyB-JRmTdvgmcJ5Ck4SQ
95,SkillwithPrashant,2480,English / mixed,Business,47,31051,2026-01-18,Yes,https://youtube.com/channel/UCM8HUOMZxo6gCMylATuoNGg
96,Startup Teardown 0→1,1470,English / mixed,Business,32,18990,2025-12-26,Yes,https://youtube.com/channel/UCpgxZk1dNmXL7HCYXPTC2iQ
97,Crypto Anas,4260,Malayalam,Crypto,33,6049,2017-09-10,Yes,https://youtube.com/channel/UCy11WsjoYJBfYYgpP0FGRGA
98,𝗖𝗿𝘆𝗽𝘁𝗼 𝗙𝗲𝗲𝗱,1480,Malayalam,Crypto,544,354,2022-02-13,Yes,https://youtube.com/channel/UCcgT8TUd1UTi4FsP4o9CA1A
99,Forex in kannada,2000,Kannada,Crypto,86,2238,2021-11-03,Yes,https://youtube.com/channel/UC8-DbygxhoLnVaLLxvwMytg
100,Budigis,1220,Kannada,Crypto,107,669,2025-04-28,Yes,https://youtube.com/channel/UC5J-0o3O2IKC-pyq33GjHig
